,0
working,662
one,26276
best,4192
shakespeare,224
sources,70
film,38442
manages,492
creditable,10
source,194
whilst,276
still,4566
appealing,192
wider,26
audience,2356
branagh,134
steals,132
fishburne,32
nose,196
talented,584
cast,3392
good,14846
form,626
well,8514
tremors,64
original,3968
started,1090
found,2534
movie,49938
quite,3192
enjoyable,538
watch,7100
however,3482
proceeded,32
make,9444
ii,408
iii,152
trust,298
movies,8162
going,4638
downhill,158
right,3250
finished,336
first,8614
mean,2234
ass,326
blasters,4
god,1532
capable,230
answering,36
question,716
gods,68
name,1842
would,14072
create,592
another,4508
dumpster,14
dives,24
iv,76
considered,446
bad,14802
fact,3678
even,15382
epitome,28
lives,998
attempted,158
sit,898
though,4182
noticed,250
eyes,1152
bleed,84
hoped,190
profusely,8
little,6192
girl,2928
ring,234
crawl,54
tv,2764
kill,1454
really,12526
think,7286
dressing,78
people,9614
stared,24
wild,344
west,434
exact,224
occurrences,24
better,6716
honestly,656
never,6518
suggest,388
buying,190
cheaper,58
ways,616
find,3720
things,3678
burn,170
ouch,28
bit,2596
painful,616
cute,556
amusing,524
premise,970
goes,2512
hell,1320
matthew,114
modine,34
almost,3148
always,2302
pedestrian,84
annoying,1590
disappoint,60
deborah,46
kara,18
unger,8
john,1716
neville,6
turned,1036
surprisingly,308
decent,1630
performances,1168
alan,262
bates,38
jennifer,268
tilly,42
among,590
others,1332
played,2034
way,7978
top,1570
know,6668
parts,1092
written,1658
hard,2748
blame,438
actors,4882
script,4150
director,4816
schlock,98
outrageous,118
characters,7200
ok,1432
got,4054
ta,174
material,874
work,4056
run,1334
away,2940
screaming,424
possible,1108
seen,6532
crappy,398
life,4858
must,3044
worst,4960
definately,14
bottom,582
imo,48
follow,678
two,6346
couples,92
dodds,2
billy,326
bob,236
thornton,42
lonnie,12
earl,66
natasha,38
richardson,38
darlene,8
kirkendalls,2
patrick,148
swayze,32
roy,150
charlize,12
theron,14
candy,252
car,1468
roadtrip,2
reno,48
apparently,1280
happy,732
sex,2092
cheats,30
wife,1888
despirately,2
trying,2972
baby,686
meanwhile,236
sure,2866
sperm,24
getting,1826
checked,96
doctor,656
read,2164
back,4848
dvd,2042
girlfriend,706
blurted,6
minutes,4252
oh,2172
yeah,658
gon,320
na,576
end,5910
pregnant,226
husband,908
spot,330
soooo,40
predictable,1256
boring,2958
meaningless,170
offensive,320
terrible,2782
example,1490
much,10156
stinks,160
set,2354
big,3324
towards,586
nevada,28
stopped,276
police,1036
officers,96
stop,1236
sign,338
guys,1528
finally,1432
bribe,12
case,1614
beer,138
scene,5632
pointless,930
important,742
relevant,130
takes,1900
talk,934
without,3192
ever,6528
somewhere,616
puke,44
thinking,1440
ending,2360
problems,848
father,1452
child,1206
many,5818
times,2812
happen,1146
try,2102
something,5884
new,3708
cheated,136
ultimately,504
forgives,14
friend,1222
affair,316
live,1236
happily,128
yuck,44
couple,1806
shots,1118
grand,222
canyon,62
keep,1540
camera,2122
expect,1188
although,2074
tries,1580
writers,836
shame,796
carriers,18
follows,388
exploits,46
gals,24
stolen,208
mercedes,14
words,900
road,408
warrior,148
hood,192
hightailing,2
highway,60
beach,198
surfboards,6
strapped,40
brian,246
chris,404
pine,32
star,1870
trek,164
driving,316
bobby,122
piper,36
perabo,14
coyote,34
ugly,530
shotgun,76
younger,402
brother,922
danny,184
lou,160
taylor,256
pucci,4
fanboys,14
exactly,1040
kate,288
emily,84
vancamp,2
occupy,18
backseat,10
quartet,22
twentysomething,4
living,902
nightmare,348
viral,6
pandemic,4
co,596
directors,670
scenarists,6
alex,258
pastor,18
david,746
tell,1918
us,3258
absolutely,1684
nothing,5980
devastated,18
america,610
naturally,274
lack,1396
exposition,112
shaves,10
least,4022
fifteen,164
slowed,22
cynical,118
melodrama,132
humans,374
degenerate,30
crisis,116
become,1256
enemies,82
lethal,52
virus,178
gives,1092
shingles,2
die,934
everybody,366
runs,496
around,3886
wearing,400
white,1452
masks,68
mouth,428
thin,480
rubber,146
band,490
initially,134
foursome,10
encounters,128
desperate,340
frank,286
christopher,382
meloni,2
runaway,42
bride,122
daughter,1132
jodie,40
kiernan,4
shipka,2
land,338
lost,1490
